;--------------------------------------------------------------------------
;调用文件		地图	X	Y	姓名		范围	代码	刷新时间
;--------------------------------------------------------------------------


;-----------------------------------西伯利亚新增Start
白嫖称号		N0	321	257	白嫖称号	0	12	1
魔龙NPC/贡献兑换	N6	129	151	魔龙贡献	0	12	1
魔龙NPC/军需官		N6	126	151	军需官		0	12	1
魔龙NPC/魔龙殿老人	EM300	14	16	魔龙老人	0	1	1
魔龙NPC/雷炎/雷炎老人	H301	53	17	雷炎老人	0	1	1
魔龙NPC/雪域老人	XY4	140	52	雪域老人	0	1	1
城市商人/盟重省/命运	N3	339	327	命运使者	0	1	1
城市商人/盟重省/金闪闪	N3	339	336	金闪闪		0	10001	1
;城市商人/盟重省/DNF职业	N3	339	339	DNF职业选择	0	10006	1
魔龙NPC/魔龙黑暗神殿	B357	7	8	黑暗神殿	0	10002	1
城市商人/盟重省/赞助会员	N3	341	340	会员	0	10003	1
魔龙NPC/石原老人	bsrlm	35	31	石原老人	0	1	1
魔龙NPC/陵墓老人	bsrlm05	56	38	陵墓老人	0	1	1
魔龙NPC/狐月老人	fakeFox3	34	33	狐月老人	0	1	1
魔龙NPC/瘟疫老人	WY3		52	42	瘟疫老人	0	1	1
魔龙NPC/深渊石原传送               SY_bsr03   18     436      深渊石原深处        0       256    0
魔龙NPC/魔兽神器合成	N6	119	151	魔兽神器合成	0	10004	1
魔龙NPC/深渊之心	N6	134	155	深渊之心	0	10005	1
魔龙NPC/深渊之心	SY_H010	371	377	深渊之心	0	10005	1
;-----------------------------------西伯利亚新增End


城市商人/比奇城/比奇城_屠夫	N0102	9	15	比奇屠夫	0	11	1
城市商人/比奇城/比奇城_屠夫	N0	313	271	比奇城屠夫	0	4	1
城市商人/比奇城/比奇城_武器	N0103	19	18	比奇卫家店	0	1	1
城市商人/比奇城/比奇城_铁匠	N0	343	267	比奇铁匠铺老板	0	0	1
城市商人/比奇城/比奇城_衣服	N0106	20	9	比奇安家布衣	0	7	1
城市商人/比奇城/比奇城_老兵	N0	329	265	比奇老兵	0	1	1
城市商人/比奇城/比奇城_药店	N0108	11	9	比奇赖家店老板	0	1	1
城市商人/比奇城/比奇城_药店	N0	324	293	比奇夏家店老板	0	5	1
城市商人/比奇城/比奇城_毒药	N0109	7	11	比奇杳水店老板	0	9	1
城市商人/比奇城/比奇城_书店	N0104	5	8	陈家铺子老板	0	2	1
城市商人/比奇城/比奇城_书店	N0	323	248	比奇书店老板	0	2	1
城市商人/比奇城/比奇城_仓库	N0125	8	6	比奇麦家铺子	0	9	1
城市商人/比奇城/比奇城_仓库	N0	303	256	比奇仓库保管员	0	12	1
城市商人/比奇城/比奇城_杂货	N0	365	289	比奇杂货铺老板	0	3	1
城市商人/比奇城/比奇城_戒指	N0105	19	11	比奇戒指店老板	0	4	1
城市商人/比奇城/比奇城_手镯	N0105	13	15	比奇手镯店老板	0	5	1
城市商人/比奇城/比奇城_项链	N0105	6	25	比奇项链店老板	0	6	1
城市商人/比奇城/比奇城_宣传员	N0	326	265	网络文明宣传员	0	5	1
万能商人/比奇城_万能商人	N0	331	262	万能商人	0	5	1
万能商人/毒蛇山谷_万能商人	N2	507	485	万能商人	0	5	1
